t,I,u,I_nn,u_nn
0.0,0.0,-6.060302985014998e-9,0.0,5.0
0.01,0.05050505097438246,5.000000046463863,0.05025083429033736,5.0
0.02,0.10152025397801803,5.00000004638554,0.10100669824244357,5.0
0.03,0.1530507620616799,5.000000046304506,0.15227266715386398,5.0
0.04,0.2051017803271577,5.000000046220623,0.20405386699768915,5.0
0.05,0.2576785664530254,5.00000004613374,0.2563554859197422,5.0
0.06,0.31078643122571953,5.0000000460437,0.30918272529566143,5.0
0.07,0.3644307390759827,5.0000000459503315,0.3625409076266596,5.0
0.08,0.4186169086207245,5.000000045853453,0.41643532871795413,5.0
0.09,0.47335041321035665,5.000000045752865,0.4708714472397948,5.0
0.1,0.5286367814816568,5.000000045648358,0.5258546250284047,5.0
0.11,0.584481597916216,5.000000045539704,0.581390391804568,5.0
0.12,0.6408905034045278,5.000000045426654,0.6374842957013127,5.0
0.13,0.6978691958157751,5.000000045308947,0.6941419436194972,5.0
0.14,0.7554234305733718,5.000000045186291,0.7513690440788452,5.0
0.15,0.8135590212363186,5.000000045058376,0.8091712795261619,5.0
0.16,0.8722818400864316,5.000000044924863,0.8675543457454545,5.0
0.17,0.9315978187215005,5.0000000447853825,0.9265242587100437,5.0
0.18,0.9915129486544401,5.000000044639533,0.9860868326098358,5.0
0.19,1.0520332819184939,5.000000044486877,1.046247936870012,5.0
0.2,1.1131649316785488,5.000000044326935,1.1070137690665758,5.0
0.21,1.1749140728486267,5.00000004415918,1.1683902251409297,5.0
0.22,1.2372869427156132,5.000000043983035,1.2303836238268913,5.0
0.23,1.3002898415692847,5.000000043797865,1.293000068716009,5.0
0.24,1.3639291333387014,5.000000043602966,1.3562457184539836,5.0
0.25,1.4282112462350274,5.000000043397563,1.4201271556051407,5.0
0.26,1.4931426734008437,5.000000043180793,1.484650639284271,5.0
0.27,1.558729973566021,5.0000000429517,1.549822860301558,5.0
0.28,1.6249797717102155,5.000000042709213,1.6156499044711703,5.0
0.29,1.691898759732057,5.000000042452135,1.6821385130412614,5.0
0.3,1.7594936971250992,5.000000042179125,1.7492955088826445,5.0
0.31,1.8277714116605919,5.000000041888667,1.8171271871871222,5.0
0.32,1.8967388000771541,5.00000004157905,1.8856405162957812,5.0
0.33,1.9664028287774116,5.000000041248333,1.954842546411822,5.0
0.34,2.036770534531671,5.000000040894299,2.0247397817455024,5.0
0.35,2.107849025188702,5.000000040514412,2.0953394179094444,5.0
0.36,2.1796454803936967,5.000000040105755,2.166648732625735,5.0
0.37,2.252167152313481,5.000000039664956,2.238674438752061,5.0
0.38,2.3254213663690524,5.000000039188089,2.3114239593571018,5.0
0.39,2.3994155219755133,5.000000038670569,2.3849045797880435,5.0
0.4,2.4741570932894783,5.000000038106993,2.4591238814258,5.0
0.41,2.549653629964028,5.0000000374909614,2.5340888547268645,5.0
0.42,2.625912757911289,5.0000000368148285,2.6098072263319034,5.0
0.43,2.7029421800727103,5.000000036069387,2.686286805598975,4.9999995
0.44,2.780749677197116,5.000000035243446,2.7635347907200902,4.999999
0.45,2.859343108626615,5.000000034323276,2.841559136245621,4.9999976
0.46,2.9387304130904375,5.000000033291827,2.9203678797170713,4.9999948
0.47,3.018919609506782,5.000000032127678,2.999968426651386,4.999988
0.48,3.0999187977927445,5.000000030803531,3.0803689597129162,4.999972
0.49,3.1817361596824094,5.000000029284051,3.161597827664383,4.999937
0.5,3.2643799595531675,5.000000027522668,3.243790649147386,4.9998593
