t,I,u,I_nn,u_nn
0.0,50.0,0.00011194121678565142,50.0,0.9
0.2,50.35076073949833,0.9000000095182388,51.00301150238354,0.9
0.4,49.50075267711623,0.9000000094246574,50.40920535560499,0.9
0.6,47.80062762870155,0.9000000093147278,48.70763231723389,0.9
0.8,45.52276972851559,0.9000000091870319,46.27044434300123,0.9
1.0,42.87701186364136,0.9000000090397269,43.37793163752359,0.9
1.2,40.023315796119775,0.9000000088703041,40.23918248025927,0.9
1.4,37.08201949691743,0.9000000086752944,37.00742575760313,0.9
1.6,34.14211934246906,0.9000000084499141,33.79322714240705,0.9
1.8,31.267956760054332,0.9000000081876102,30.673044817469442,0.9
2.0,28.50460577386261,0.9000000078794356,27.699640601641445,0.9
2.2,25.882201734648334,0.9000000075131273,24.90464559484736,0.9
2.4,23.419407314702774,0.9000000070716762,22.30677781415995,0.9
2.6,21.126176411293713,0.9000000065310239,19.914364301075143,0.9
2.8,19.005947807896085,0.9000000058561988,17.726604781973162,0.9
3.0,17.057376841253763,0.90000000499454,15.738835122227366,0.9
3.2,15.275693875713296,0.9000000038631273,13.942764677251416,0.9
3.4,13.653762321173321,0.9000000023237636,12.326576568881205,0.8999996781349182
3.6,12.182895649507907,0.9000000001284261,10.877983630854029,0.8999876618385315
3.8,10.853481889928002,0.8999999967848359,9.584499834436068,0.8997574746608734
4.0,9.655455028138707,0.8999999911623682,8.432668696822763,0.8976493656635285
4.2,8.578645276195997,0.8999999799779763,7.409464147301918,0.887619298696518
4.4,7.613034051720092,0.8999999481235205,6.502833682530443,0.8600384652614593
4.6,6.748934482362739,0.8999993505604647,5.701290685320439,0.8111555278301239
4.8,5.977152354495368,0.8407771338004482,4.993816043174149,0.7486822128295899
5.0,5.2890335484068,0.7817637261180657,4.370407952723258,0.6843645572662354
5.2,4.676490537559225,0.7288268269219745,3.822048760544443,0.625707221031189
5.4,4.132016102028343,0.680433334575962,3.3404111362272926,0.5749121904373169
5.6,3.6486843396168602,0.6356113634085695,2.9178797147137496,0.5312591314315797
5.8,3.220140710495211,0.5937345964325542,2.547608488566595,0.49311967492103576
6.0,2.8405833811211156,0.5543910938294412,2.2234911477444923,0.4589164674282074
6.2,2.5047381289859483,0.5173028322153501,1.9400268141443977,0.4274319738149643
6.4,2.207828830670128,0.48227594364748744,1.6923168577643843,0.3978298544883728
6.6,1.9455452335569174,0.4491696812911658,1.4759978564188778,0.3695923089981079
6.8,1.714009381413023,0.4178769032213746,1.2871837539904585,0.34243872463703157
7.0,1.509741760663457,0.38831170142879434,1.1224409895908372,0.3162564218044281
7.2,1.3296279712704446,0.3604015028971557,0.9787712643523708,0.2910403311252594
7.4,1.1708865065987835,0.3340819962379729,0.8535536556780926,0.2668506145477295
7.6,1.031038048201449,0.30929386207395415,0.7444390593788713,0.24377862811088563
7.8,0.9078765395083079,0.2859806682468671,0.6493460911880017,0.2219220578670502
8.0,0.7994421916606005,0.26408752716279654,0.5664574455720874,0.20136818289756775
8.2,0.7039964900043088,0.243560259202651,0.49425280192885135,0.18218311965465547
8.4,0.6199992062943143,0.22434489756898116,0.431384391441298,0.16440592110157012
8.6,0.5460873753260616,0.2063874272033321,0.37663677285886943,0.14804747700691223
8.8,0.48105616198324086,0.18963368639282427,0.3289280345771509,0.13309162706136704
9.0,0.4238415226364199,0.1740293823857783,0.28732005479764056,0.11949778944253922
9.2,0.3735045510401627,0.1595201867474783,0.2510571817106543,0.10720605030655861
9.4,0.32921739140015815,0.14605188544365863,0.21947308665146656,0.09614217281341553
9.6,0.29025059854607427,0.13357056471659834,0.1919603979343066,0.08622209653258324
9.8,0.2559618258993823,0.12202281795781293,0.1679712702532812,0.07735560536384582
10.0,0.2257857251811237,0.11135596175589393,0.14702040381276077,0.06945092082023621
10.2,0.19922494679078195,0.10151825158152186,0.12872421405772894,0.062417203187942506
10.4,0.175842135906935,0.09245908944396454,0.112760631735136,0.05616732425987721
10.6,0.15525282615623612,0.0841292174721811,0.09883410871207644,0.05061797127127648
10.8,0.13711913982474208,0.07648089281928167,0.0866759040379441,0.045692721381783485
11.0,0.12114421078874435,0.06946804059618664,0.07604368811669561,0.04132064357399941
11.2,0.10706725343514951,0.06304638271814439,0.06673366714291097,0.03743776045739651
11.4,0.09465920769296178,0.05717354159306748,0.058588880103309045,0.03398618996143341
11.6,0.08371889681873912,0.05180911848709504,0.05146712483221673,0.030914463847875596
11.8,0.07406964071381823,0.046914747164965916,0.04523803197747756,0.028176793456077577
12.0,0.06555627326806927,0.04245412401937429,0.0397828619874465,0.02573264725506306
12.2,0.05804251751083382,0.0383930163780158,0.03499543674366482,0.0235464071854949
12.4,0.05140867720497551,0.034699251017421225,0.030793040708938787,0.021586758457124235
12.6,0.04554960795477343,0.03134268513098975,0.02710774862079035,0.019826300628483295
12.8,0.0403729349296204,0.028295162109427778,0.023876681023426768,0.01824105475097895
13.0,0.03579748795450319,0.025530454511356878,0.021042086129638475,0.016810203529894353
13.2,0.03175192800909454,0.023024196547020825,0.01855140554980122,0.015515409037470817
13.4,0.02817354213544868,0.020753808285111815,0.016358567573175855,0.01434083115309477
13.6,0.025007186405639297,0.01869841363718995,0.014429078790273513,0.013272571843117476
13.8,0.022204358970825032,0.016838753989704996,0.012732725686655585,0.012298628222197294
14.0,0.019722387326991747,0.015157099152196608,0.0112414631140812,0.011408397182822229
14.2,0.017523715813701247,0.01363715708185629,0.009929517771739654,0.010592752508819104
14.4,0.015575281032928923,0.012263983637243014,0.008773377303717267,0.00984366936609149
14.6,0.013847964356373966,0.011023893413799689,0.007752718382705082,0.009154147189110519
14.8,0.012316112000824206,0.009904372525400894,0.0068524941038028255,0.008518103230744601
15.0,0.010957114310057997,0.008893994022555293,0.006059126548390823,0.00793014457449317
15.2,0.009751036904657772,0.007982336480964112,0.005360013236153278,0.007385625131428242
15.4,0.008680297262829121,0.0071599061547305545,0.00474353591949734,0.006880414299666882
15.6,0.007729381089307579,0.0064180629667526645,0.004199058851587418,0.00641092755831778
15.8,0.006884593527833913,0.005748950504209003,0.0037172876211838744,0.005973969725891948
16.0,0.006133840886410658,0.00514543009868573,0.0032913623386478926,0.005566748790442944
16.2,0.0054664390834148965,0.004601018997281748,0.0029151666618291174,0.005186802987009287
16.4,0.004872945495400572,0.004109832571714487,0.002582999969131801,0.004831932066008448
16.6,0.00434501130189531,0.0036665304658558212,0.002289573372276541,0.004500191425904632
16.8,0.0038752517856425824,0.0032662665472136974,0.0020300331671304806,0.004189867386594415
