t,I,u,I_nn,u_nn
0.0,1.0,0.0,1.0,-1.7607157
0.01,0.992396487823117,-1.752747705511421,0.9924418368899095,-1.7433681
0.02,0.9848932177156989,-1.7352202284575,0.9849812848436352,-1.726175
0.03,0.9774894317716745,-1.7178680261741266,0.9776177765884231,-1.7091354
0.04,0.9701843821338773,-1.7006893459135968,0.9703507449490353,-1.6922497
0.05,0.9629773309185055,-1.6836824524556817,0.9631796348148656,-1.6755171
0.06,0.9558675501405878,-1.6668456279323527,0.9561038673119769,-1.6589373
0.07,0.9488543216404496,-1.6501771716542704,0.9491228502964311,-1.6425099
0.08,0.9419369370111715,-1.6336753999389744,0.9422360046255274,-1.6262343
0.09,0.9351146975270335,-1.6173386459408403,0.9354427408384124,-1.61011
0.1,0.9283869140729358,-1.6011652594827004,0.9287424897693417,-1.5941365
0.11,0.9217529070747923,-1.5851536068891476,0.9221346695618448,-1.5783131
0.12,0.9152120064308857,-1.5693020708215395,0.9156187059834401,-1.562639
0.13,0.9087635514441814,-1.553609050114619,0.909194027329471,-1.5471135
0.14,0.9024068907555896,-1.5380729596147775,0.9028600597375868,-1.5317359
0.15,0.8961413822781719,-1.5226922300199377,0.8966162413782091,-1.5165054
0.16,0.8899663931322841,-1.5074653077210618,0.8904620172329467,-1.501421
0.17,0.8838812995816487,-1.4923906546451835,0.8843968073668498,-1.486482
0.18,0.8778854869703516,-1.4774667481000672,0.8784200619502609,-1.4716878
0.19,0.8719783496607549,-1.4626920806204171,0.8725312331540561,-1.4570369
0.2,0.8661592909723225,-1.4480651598155732,0.866729749417709,-1.4425288
0.21,0.8604277231213482,-1.4335845082187801,0.8610150765494701,-1.4281626
0.22,0.8547830671615843,-1.4192486631379704,0.8553866485634923,-1.4139367
0.23,0.8492247529257622,-1.4050561765079779,0.8498439276122163,-1.3998508
0.24,0.8437522189679992,-1.3910056147442884,0.8443863778650534,-1.3859036
0.25,0.8383649125070876,-1.3770955585982507,0.8390134416859262,-1.3720939
0.26,0.8330622893706574,-1.3633246030136803,0.8337246134694387,-1.3584208
0.27,0.8278438139402098,-1.349691356984965,0.8285193654005251,-1.3448834
0.28,0.8227089590970145,-1.3361944434165494,0.8233972051054165,-1.3314805
0.29,0.817657206168865,-1.3228324989838154,0.8183576005033281,-1.3182107
0.3,0.8126880448776875,-1.309604173995429,0.8134000278344239,-1.3050734
0.31,0.8078009732879983,-1.2965081322569314,0.8085240148766938,-1.292067
0.32,0.8029954977562019,-1.2835430509358277,0.8037290523000684,-1.2791907
0.33,0.7982711328807298,-1.270707620427944,0.7990146390774833,-1.266443
0.34,0.7936274014530084,-1.258000544225151,0.7943803235479318,-1.2538232
0.35,0.7890638344092571,-1.2454205387843846,0.7898256191185036,-1.24133
0.36,0.7845799707831077,-1.2329663333980447,0.7853500474821357,-1.2289622
0.37,0.7801753576590424,-1.2206366700655735,0.7809531775645613,-1.2167187
0.38,0.7758495501266446,-1.2084303033664354,0.776634545497063,-1.2045982
0.39,0.7716021112356581,-1.1963460003342972,0.7723937082036021,-1.1925994
0.4,0.7674326119518518,-1.1843825403324917,0.768230217651599,-1.1807215
0.41,0.7633406311136816,-1.1725387149307032,0.7641436702537614,-1.1689634
0.42,0.7593257553897496,-1.1608133277829504,0.7601336324211369,-1.1573232
0.43,0.7553875792370532,-1.1492051945066801,0.7561996788136469,-1.1458005
0.44,0.7515257048600217,-1.1377131425631808,0.7523414264861991,-1.134394
0.45,0.7477397421703338,-1.126336011139124,0.7485584645460739,-1.1231024
0.46,0.7440293087475157,-1.1150726510293194,0.744850390334892,-1.1119245
0.47,0.7403940298003128,-1.1039219245206116,0.7412168415715619,-1.1008592
0.48,0.736833538128831,-1.0928827052770076,0.7376574300485974,-1.0899055
0.49,0.7333474740874469,-1.0819538782258442,0.7341717757791074,-1.0790619
0.5,0.7299354855484798,-1.0711343394452006,0.7307595371666205,-1.0683274
0.51,0.7265972278666223,-1.0604229960523706,0.7274203486784767,-1.057701
0.52,0.7233323638441288,-1.0498187660934764,0.7241538626165518,-1.0471814
0.53,0.7201405636967546,-1.0393205784341784,0.7209597386194763,-1.0367677
0.54,0.7170215050204443,-1.0289273726514805,0.7178376252674977,-1.0264587
0.55,0.7139748727587657,-1.018638098926617,0.714787234089467,-1.016253
0.56,0.7110003591710864,-1.008451717939015,0.711808227701778,-1.0061499
0.57,0.7080976638014885,-0.9983672007612788,0.7089002946833044,-0.9961481
0.58,0.7052664934484193,-0.9883835287553437,0.7060631389732102,-0.9862464
0.59,0.7025065621350753,-0.9784996934694692,0.7032964738066556,-0.9764439
0.6,0.6998175910805159,-0.9687146965364598,0.7006000041161291,-0.9667394
0.61,0.697199308671503,-0.9590275495727871,0.6979734904012403,-0.9571321
0.62,0.6946514504350662,-0.9494372740787573,0.6954166522983606,-0.94762045
0.63,0.6921737590117872,-0.9399429013396743,0.6929292332857222,-0.93820405
0.64,0.6897659841298054,-0.9305434723279882,0.6905109844023142,-0.92888135
0.65,0.6874278825795366,-0.9212380376064245,0.6881616642478822,-0.9196514
0.66,0.6851592181891067,-0.9120256572320828,0.6858810255936044,-0.9105132
0.67,0.6829597618004969,-0.90290540066149,0.6836688693468341,-0.901466
0.68,0.6808292912463947,-0.8938763466566138,0.6815249629915363,-0.8925086
0.69,0.6787675913277544,-0.884937583191777,0.6794490953705286,-0.88364
0.7,0.6767744537920589,-0.8760882073616084,0.6774410628873854,-0.87485904
0.71,0.6748496773122844,-0.8673273252897417,0.675500669506438,-0.866165
0.72,0.6729930674665641,-0.8586540520385987,0.6736277157898116,-0.8575568
0.73,0.6712044367185498,-0.8500675115199721,0.6718220431497114,-0.84903336
0.74,0.6694836043984691,-0.8415668364065363,0.6700834668683302,-0.8405943
0.75,0.6678303966848755,-0.8331511680442395,0.6684118211530715,-0.8322382
0.76,0.6662446465870907,-0.8248196563655701,0.666806947772095,-0.82396406
0.77,0.6647261939283372,-0.8165714598036915,0.6652686960543176,-0.8157712
0.78,0.6632748853295584,-0.8084057452074358,0.6637969228894127,-0.8076587
0.79,0.6618905741939262,-0.8003216877571464,0.6623914845482469,-0.79962564
0.8,0.6605731206920329,-0.7923184708813639,0.6610522697954406,-0.79167104
0.81,0.6593223917477671,-0.784395286174347,0.6597791496283723,-0.7837939
0.82,0.6581382610248719,-0.7765513333143905,0.6585720111797875,-0.775994
0.83,0.6570206089141832,-0.7687858199830501,0.6574307491431884,-0.76826984
0.84,0.6559693225215485,-0.7610979617850216,0.6563552657728342,-0.7606209
0.85,0.654984295656423,-0.7534869821689764,0.6553454650604883,-0.75304586
0.86,0.6540654288211435,-0.7459521123490942,0.654401276419238,-0.7455446
0.87,0.6532126292008781,-0.7384925912274135,0.6535226185711247,-0.738116
0.88,0.6524258106542511,-0.7311076653169519,0.6527094240134796,-0.73075926
0.89,0.6517048937046416,-0.7237965886655973,0.6519616328043905,-0.7234732
0.9,0.6510498055321555,-0.716558622780758,0.6512791925627017,-0.7162578
0.91,0.6504604799662705,-0.709393036554769,0.6506620549841564,-0.7091116
0.92,0.6499368574791516,-0.7022991061910415,0.650110190165766,-0.7020345
0.93,0.6494788851796385,-0.6952761151309568,0.649623564535272,-0.695025
0.94,0.6490865168079029,-0.6883233539814626,0.6492021554571509,-0.6880829
0.95,0.6487597127307758,-0.6814401204434759,0.6488459466705107,-0.68120706
0.96,0.6484984399377446,-0.6746257192408662,0.6485549289751106,-0.67439723
0.97,0.6483026720376179,-0.6678794620502831,0.6483290991749949,-0.6676525
0.98,0.6481723892558605,-0.6612006674316067,0.6481684650741445,-0.66097176
0.99,0.6481075784325953,-0.6545886607591171,0.6480730374001682,-0.6543548
1.0,0.6415623464136648,-1.296085548306706,0.6480428355770427,-0.6478009
